source_viewport,tag,source_classes,observed_width,observed_height,font_size,font_weight,line_height,padding,gap,radius,overflow_y
1363x936,H4,,302,24,14px,700,22px,0px,6px,0px,visible
1363x936,SPAN,sports-title-badge,58.094,24,10.5px,800,10.5px,0px 6px,normal,4px,hidden
1363x936,UL,sport-list,302,186,14px,400,21px,0px,4px,0px,visible
1363x936,LI,sport-tree,302,34,14px,400,21px,0px,normal,0px,visible
1363x936,BUTTON,sport-row,302,34,14px,400,19.5px,0px 8px,6px,6px,visible
1363x936,SPAN,label,260,28,13px,700,18px,0px,6px,0px,visible
1363x936,SPAN,ic-wrap,28,28,13px,700,18px,0px,normal,0px,visible
1363x936,IMG,sport-icon-img,22,22,13px,700,18px,0px,normal,0px,clip
1363x936,SPAN,sport-row-meta,18,18,14px,900,19.5px,0px,6px,0px,visible
1363x936,SPAN,count,18,18,13px,700,18px,0px,normal,0px,visible
1363x936,SECTION,section-card latest-game-section,320,307,16px,400,24px,8px,normal,5px,hidden
1363x936,H2,border-b border-[#EDEEF0] px-2 py-3 text-sm font-semibold text-[#000000],302,32,14px,700,22px,0px 0px 7px,normal 6px,0px,visible
1363x936,SPAN,latest-game-title-badge,42,24,10.5px,800,10.5px,0px 7px,normal,4px,hidden
1363x936,UL,latest-game-list flex flex-col,302,264,16px,400,24px,4px 8px 6px 9px,normal,0px,visible
1363x936,LI,border-b border-[#EDEEF0] last:border-b-0,285,51,16px,400,24px,0px,normal,0px,visible
1363x936,BUTTON,latest-game-row flex w-full items-start gap-3 px-3 py-2 text-left,285,50,16px,400,24px,9px 0px,0px 10px,0px,visible
1363x936,SPAN,inline-flex h-4 w-4 shrink-0 rounded-full bg-[#D9D9D9],8,8,12px,600,16px,0px,normal,999px,visible
1363x936,DIV,latest-game-teams min-w-0 flex-1,207,32,16px,400,24px,0px,normal,0px,visible
1363x936,P,truncate text-xs font-semibold text-[#040404],207,16,12px,600,16px,0px,normal,0px,hidden
1363x936,MAIN,center-content hide-scrollbar,695,829,16px,400,24px,6px 4px 0px,normal,0px,auto
1363x936,SECTION,mx-auto flex h-full w-full max-w-[1246px] flex-col gap-4 overflow-visible p-0,687,823,16px,400,24px,0px,16px,0px,visible
1363x936,DIV,min-h-0 flex-1 overflow-visible,687,823,16px,400,24px,0px,normal,0px,visible
1363x936,SECTION,EuropeanSportsTheme-module__rRO-Da__layoutShell,687,823,16px,400,24px,0px 0px 3px,normal,0px,visible
1363x936,DIV,section-card EuropeanSportsTheme-module__rRO-Da__layoutSurface,687,820,16px,400,24px,8px,normal,6px,visible
1363x936,DIV,EuropeanSportsTheme-module__rRO-Da__layoutGrid,669,802,16px,400,24px,0px,8px,0px,visible
1363x936,SECTION,EuropeanSportsTheme-module__rRO-Da__panel EuropeanSportsTheme-module__rRO-Da__leftPanel,330.5,802,16px,400,24px,0px,0px,8px,hidden
1363x936,SECTION,EuropeanSportsTheme-module__rRO-Da__sportBar,328.5,104,16px,400,24px,10px 10px 9px,normal,0px,visible
1363x936,UL,EuropeanSportsTheme-module__rRO-Da__sportList,308.5,84,16px,400,24px,0px,6px,0px,visible
1363x936,LI,,33.312,84,16px,400,24px,0px,normal,0px,visible
1363x936,BUTTON,EuropeanSportsTheme-module__rRO-Da__sportTab EuropeanSportsTheme-module__rRO-Da__sportTabActive,33.312,84,11px,850,16.5px,8px 4px,6px,5px,hidden
1363x936,IMG,EuropeanSportsTheme-module__rRO-Da__sportIcon,23.312,23.75,11px,850,16.5px,0px,normal,0px,clip
1363x936,SPAN,EuropeanSportsTheme-module__rRO-Da__sportCount,22.953,16,10px,900,16px,0px 5px,normal,4px,visible
